dt_abertura;Year;Month;Day
20/04/1943;1943;abr;20
21/04/1943;1943;abr;21
22/04/1943;1943;abr;22
23/04/1943;1943;abr;23
24/04/1943;1943;abr;24
25/04/1943;1943;abr;25
26/04/1943;1943;abr;26
27/04/1943;1943;abr;27
28/04/1943;1943;abr;28
29/04/1943;1943;abr;29
30/04/1943;1943;abr;30
01/05/1943;1943;mai;1
02/05/1943;1943;mai;2
03/05/1943;1943;mai;3
04/05/1943;1943;mai;4
05/05/1943;1943;mai;5
06/05/1943;1943;mai;6
07/05/1943;1943;mai;7
08/05/1943;1943;mai;8
09/05/1943;1943;mai;9
10/05/1943;1943;mai;10
11/05/1943;1943;mai;11
12/05/1943;1943;mai;12
13/05/1943;1943;mai;13
14/05/1943;1943;mai;14
15/05/1943;1943;mai;15
16/05/1943;1943;mai;16
17/05/1943;1943;mai;17
18/05/1943;1943;mai;18
19/05/1943;1943;mai;19
20/05/1943;1943;mai;20
21/05/1943;1943;mai;21
22/05/1943;1943;mai;22
23/05/1943;1943;mai;23
24/05/1943;1943;mai;24
25/05/1943;1943;mai;25
26/05/1943;1943;mai;26
27/05/1943;1943;mai;27
28/05/1943;1943;mai;28
29/05/1943;1943;mai;29
30/05/1943;1943;mai;30
31/05/1943;1943;mai;31
01/06/1943;1943;jun;1
02/06/1943;1943;jun;2
03/06/1943;1943;jun;3
04/06/1943;1943;jun;4
05/06/1943;1943;jun;5
06/06/1943;1943;jun;6
07/06/1943;1943;jun;7
08/06/1943;1943;jun;8
09/06/1943;1943;jun;9
10/06/1943;1943;jun;10
11/06/1943;1943;jun;11
12/06/1943;1943;jun;12
13/06/1943;1943;jun;13
14/06/1943;1943;jun;14
15/06/1943;1943;jun;15
16/06/1943;1943;jun;16
17/06/1943;1943;jun;17
18/06/1943;1943;jun;18
19/06/1943;1943;jun;19
20/06/1943;1943;jun;20
21/06/1943;1943;jun;21
22/06/1943;1943;jun;22
23/06/1943;1943;jun;23
24/06/1943;1943;jun;24
25/06/1943;1943;jun;25
26/06/1943;1943;jun;26
27/06/1943;1943;jun;27
28/06/1943;1943;jun;28
29/06/1943;1943;jun;29
30/06/1943;1943;jun;30
01/07/1943;1943;jul;1
02/07/1943;1943;jul;2
03/07/1943;1943;jul;3
04/07/1943;1943;jul;4
05/07/1943;1943;jul;5
06/07/1943;1943;jul;6
07/07/1943;1943;jul;7
08/07/1943;1943;jul;8
09/07/1943;1943;jul;9
10/07/1943;1943;jul;10
11/07/1943;1943;jul;11
12/07/1943;1943;jul;12
13/07/1943;1943;jul;13
14/07/1943;1943;jul;14
15/07/1943;1943;jul;15
16/07/1943;1943;jul;16
17/07/1943;1943;jul;17
18/07/1943;1943;jul;18
19/07/1943;1943;jul;19
20/07/1943;1943;jul;20
21/07/1943;1943;jul;21
22/07/1943;1943;jul;22
23/07/1943;1943;jul;23
24/07/1943;1943;jul;24
25/07/1943;1943;jul;25
26/07/1943;1943;jul;26
27/07/1943;1943;jul;27
28/07/1943;1943;jul;28
29/07/1943;1943;jul;29
30/07/1943;1943;jul;30
31/07/1943;1943;jul;31
01/08/1943;1943;ago;1
02/08/1943;1943;ago;2
03/08/1943;1943;ago;3
04/08/1943;1943;ago;4
05/08/1943;1943;ago;5
06/08/1943;1943;ago;6
07/08/1943;1943;ago;7
08/08/1943;1943;ago;8
09/08/1943;1943;ago;9
10/08/1943;1943;ago;10
11/08/1943;1943;ago;11
12/08/1943;1943;ago;12
13/08/1943;1943;ago;13
14/08/1943;1943;ago;14
15/08/1943;1943;ago;15
16/08/1943;1943;ago;16
17/08/1943;1943;ago;17
18/08/1943;1943;ago;18
19/08/1943;1943;ago;19
20/08/1943;1943;ago;20
21/08/1943;1943;ago;21
22/08/1943;1943;ago;22
23/08/1943;1943;ago;23
24/08/1943;1943;ago;24
25/08/1943;1943;ago;25
26/08/1943;1943;ago;26
27/08/1943;1943;ago;27
28/08/1943;1943;ago;28
29/08/1943;1943;ago;29
30/08/1943;1943;ago;30
31/08/1943;1943;ago;31
01/09/1943;1943;set;1
02/09/1943;1943;set;2
03/09/1943;1943;set;3
04/09/1943;1943;set;4
05/09/1943;1943;set;5
06/09/1943;1943;set;6
07/09/1943;1943;set;7
08/09/1943;1943;set;8
09/09/1943;1943;set;9
10/09/1943;1943;set;10
11/09/1943;1943;set;11
12/09/1943;1943;set;12
13/09/1943;1943;set;13
14/09/1943;1943;set;14
15/09/1943;1943;set;15
16/09/1943;1943;set;16
17/09/1943;1943;set;17
18/09/1943;1943;set;18
19/09/1943;1943;set;19
20/09/1943;1943;set;20
21/09/1943;1943;set;21
22/09/1943;1943;set;22
23/09/1943;1943;set;23
24/09/1943;1943;set;24
25/09/1943;1943;set;25
26/09/1943;1943;set;26
27/09/1943;1943;set;27
28/09/1943;1943;set;28
29/09/1943;1943;set;29
30/09/1943;1943;set;30
01/10/1943;1943;out;1
02/10/1943;1943;out;2
03/10/1943;1943;out;3
04/10/1943;1943;out;4
05/10/1943;1943;out;5
06/10/1943;1943;out;6
07/10/1943;1943;out;7
08/10/1943;1943;out;8
09/10/1943;1943;out;9
10/10/1943;1943;out;10
11/10/1943;1943;out;11
12/10/1943;1943;out;12
13/10/1943;1943;out;13
14/10/1943;1943;out;14
15/10/1943;1943;out;15
16/10/1943;1943;out;16
17/10/1943;1943;out;17
18/10/1943;1943;out;18
19/10/1943;1943;out;19
20/10/1943;1943;out;20
21/10/1943;1943;out;21
22/10/1943;1943;out;22
23/10/1943;1943;out;23
24/10/1943;1943;out;24
25/10/1943;1943;out;25
26/10/1943;1943;out;26
27/10/1943;1943;out;27
28/10/1943;1943;out;28
29/10/1943;1943;out;29
30/10/1943;1943;out;30
31/10/1943;1943;out;31
01/11/1943;1943;nov;1
02/11/1943;1943;nov;2
03/11/1943;1943;nov;3
04/11/1943;1943;nov;4
05/11/1943;1943;nov;5
06/11/1943;1943;nov;6
